,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
67,68,2011-03-09,spring,2011,3,Not Holiday,3,Workingday,Mist Cloudy,12.129153,14.3304,77.5417,14.750050000000002,191.0,1700,1891.0
68,69,2011-03-10,spring,2011,3,Not Holiday,4,Workingday,Light Rain/Snow,15.952731,19.2834,0.0,17.545759,46.0,577,623.0
69,70,2011-03-11,spring,2011,3,Not Holiday,5,Workingday,Mist Cloudy,12.977402000000001,15.25,64.95649999999999,15.60899,247.0,1730,1977.0
70,71,2011-03-12,spring,2011,3,Not Holiday,6,Weekend/Holiday,Clear Cloudy,13.495847,16.287499999999998,59.458299999999994,14.791924999999999,724.0,1408,2132.0
71,72,2011-03-13,spring,2011,3,Not Holiday,0,Weekend/Holiday,Clear Cloudy,15.758268000000001,19.004550000000002,52.73910000000001,18.130468,982.0,1435,2417.0
72,73,2011-03-14,spring,2011,3,Not Holiday,1,Workingday,Clear Cloudy,13.333896999999999,16.6,49.695699999999995,9.174042,359.0,1687,2046.0
73,74,2011-03-15,spring,2011,3,Not Holiday,2,Workingday,Mist Cloudy,13.013031,15.908900000000001,65.5652,12.348703,289.0,1767,2056.0
74,75,2011-03-16,spring,2011,3,Not Holiday,3,Workingday,Mist Cloudy,14.973897000000001,18.3465,77.65220000000001,13.608839,321.0,1871,2192.0
75,76,2011-03-17,spring,2011,3,Not Holiday,4,Workingday,Clear Cloudy,17.015,20.51665,60.291700000000006,14.041792999999998,424.0,2320,2744.0
76,77,2011-03-18,spring,2011,3,Not Holiday,5,Workingday,Clear Cloudy,22.14,26.35045,52.5217,15.478139,884.0,2355,3239.0
77,78,2011-03-19,spring,2011,3,Not Holiday,6,Weekend/Holiday,Clear Cloudy,19.3725,23.32625,37.9167,24.667189,1424.0,1693,3117.0
78,79,2011-03-20,spring,2011,3,Not Holiday,0,Weekend/Holiday,Clear Cloudy,13.6325,16.287499999999998,47.375,13.917307,1047.0,1424,2471.0
79,80,2011-03-21,summer,2011,3,Not Holiday,1,Workingday,Mist Cloudy,17.647835,20.48675,73.73910000000001,19.348461,401.0,1676,2077.0
80,81,2011-03-22,summer,2011,3,Not Holiday,2,Workingday,Clear Cloudy,18.108347,22.0321,62.4583,15.125250000000001,460.0,2243,2703.0
81,82,2011-03-23,summer,2011,3,Not Holiday,3,Workingday,Mist Cloudy,14.225237,16.89695,83.9565,15.695487,203.0,1918,2121.0
82,83,2011-03-24,summer,2011,3,Not Holiday,4,Workingday,Mist Cloudy,11.684999999999999,13.541649999999999,80.58330000000001,16.333729,166.0,1699,1865.0
83,84,2011-03-25,summer,2011,3,Not Holiday,5,Workingday,Clear Cloudy,10.830846999999999,12.8156,49.5,15.458575000000002,300.0,1910,2210.0
84,85,2011-03-26,summer,2011,3,Not Holiday,6,Weekend/Holiday,Clear Cloudy,10.899153,12.87855,39.4167,14.041257,981.0,1515,2496.0
85,86,2011-03-27,summer,2011,3,Not Holiday,0,Weekend/Holiday,Mist Cloudy,10.374763000000002,12.51695,49.3913,12.348099999999999,472.0,1221,1693.0
86,87,2011-03-28,summer,2011,3,Not Holiday,1,Workingday,Clear Cloudy,10.838268000000001,12.878700000000002,30.2174,14.217668,222.0,1806,2028.0
87,88,2011-03-29,summer,2011,3,Not Holiday,2,Workingday,Clear Cloudy,12.4025,14.6454,31.4167,15.208732,317.0,2108,2425.0
88,89,2011-03-30,summer,2011,3,Not Holiday,3,Workingday,Mist Cloudy,12.299999999999999,14.8675,64.6667,11.583495999999998,168.0,1368,1536.0
89,90,2011-03-31,summer,2011,3,Not Holiday,4,Workingday,Light Rain/Snow,11.001653,12.87875,91.8333,14.582282000000001,179.0,1506,1685.0
90,91,2011-04-01,summer,2011,4,Not Holiday,5,Workingday,Mist Cloudy,12.299999999999999,14.172699999999999,68.625,17.333436,307.0,1920,2227.0
91,92,2011-04-02,summer,2011,4,Not Holiday,6,Weekend/Holiday,Mist Cloudy,12.915000000000001,15.78185,65.375,13.208782,898.0,1354,2252.0
92,93,2011-04-03,summer,2011,4,Not Holiday,0,Weekend/Holiday,Clear Cloudy,15.511652999999999,18.93835,48.0,12.208271000000002,1651.0,1598,3249.0
93,94,2011-04-04,summer,2011,4,Not Holiday,1,Workingday,Clear Cloudy,23.506653,27.14645,42.625,25.50095375,734.0,2381,3115.0
94,95,2011-04-05,summer,2011,4,Not Holiday,2,Workingday,Mist Cloudy,16.980847,19.9175,64.2083,25.50095375,167.0,1628,1795.0
95,96,2011-04-06,summer,2011,4,Not Holiday,3,Workingday,Clear Cloudy,16.024153,19.3804,47.0833,17.625221,413.0,2395,2808.0
96,97,2011-04-07,summer,2011,4,Not Holiday,4,Workingday,Clear Cloudy,17.9375,21.684800000000003,60.291700000000006,10.874904,571.0,2570,3141.0
97,98,2011-04-08,summer,2011,4,Not Holiday,5,Workingday,Mist Cloudy,13.769153,16.223950000000002,83.625,15.208464,172.0,1299,1471.0
98,99,2011-04-09,summer,2011,4,Not Holiday,6,Weekend/Holiday,Mist Cloudy,14.0425,17.07645,87.75,8.916561,879.0,1576,2455.0
99,100,2011-04-10,summer,2011,4,Not Holiday,0,Weekend/Holiday,Mist Cloudy,17.493347,21.33685,85.75,9.833389,1188.0,1707,2895.0
100,101,2011-04-11,summer,2011,4,Not Holiday,1,Workingday,Mist Cloudy,24.421732,28.260849999999998,71.6956,21.739758,855.0,2493,3348.0
101,102,2011-04-12,summer,2011,4,Not Holiday,2,Workingday,Mist Cloudy,20.6025,24.6527,73.9167,18.416892999999998,257.0,1777,2034.0
102,103,2011-04-13,summer,2011,4,Not Holiday,3,Workingday,Mist Cloudy,16.912499999999998,20.864150000000002,81.91669999999999,16.791338999999997,209.0,1953,2162.0
103,104,2011-04-14,summer,2011,4,Not Holiday,4,Workingday,Clear Cloudy,19.1675,23.1371,54.041700000000006,7.4169,529.0,2738,3267.0
104,105,2011-04-15,summer,2011,4,Not Holiday,5,Weekend/Holiday,Clear Cloudy,18.313347,22.09565,67.125,15.167124999999999,642.0,2484,3126.0
105,106,2011-04-16,summer,2011,4,Not Holiday,6,Weekend/Holiday,Light Rain/Snow,17.664153000000002,21.2746,88.83330000000001,22.834136,121.0,674,795.0
106,107,2011-04-17,summer,2011,4,Not Holiday,0,Weekend/Holiday,Clear Cloudy,18.723347,22.2848,47.9583,20.334232,1558.0,2186,3744.0
107,108,2011-04-18,summer,2011,4,Not Holiday,1,Workingday,Clear Cloudy,21.0125,25.1573,54.25,10.958988999999999,669.0,2760,3429.0
108,109,2011-04-19,summer,2011,4,Not Holiday,2,Workingday,Mist Cloudy,20.739152999999998,24.4629,66.5833,10.584057,409.0,2795,3204.0
109,110,2011-04-20,summer,2011,4,Not Holiday,3,Workingday,Clear Cloudy,24.395,28.2196,61.4167,16.208975,613.0,3331,3944.0
110,111,2011-04-21,summer,2011,4,Not Holiday,4,Workingday,Clear Cloudy,18.825847,22.6946,40.708299999999994,21.792286,745.0,3444,4189.0
111,112,2011-04-22,summer,2011,4,Not Holiday,5,Workingday,Mist Cloudy,13.803347,16.0977,72.9583,14.707906999999999,177.0,1506,1683.0
112,113,2011-04-23,summer,2011,4,Not Holiday,6,Weekend/Holiday,Mist Cloudy,18.86,22.50605,88.79169999999999,15.458575000000002,1462.0,2574,4036.0
113,114,2011-04-24,summer,2011,4,Not Holiday,0,Weekend/Holiday,Mist Cloudy,23.848347,27.58815,81.08330000000001,12.875725000000001,1710.0,2481,4191.0
114,115,2011-04-25,summer,2011,4,Not Holiday,1,Workingday,Clear Cloudy,24.873347,28.725,77.6667,12.417311,773.0,3300,4073.0
115,116,2011-04-26,summer,2011,4,Not Holiday,2,Workingday,Clear Cloudy,25.898346999999998,29.704150000000002,72.9167,21.875500000000002,678.0,3722,4400.0
116,117,2011-04-27,summer,2011,4,Not Holiday,3,Workingday,Mist Cloudy,25.419999999999998,28.7571,83.54169999999999,20.917399999999997,547.0,3325,3872.0
117,118,2011-04-28,summer,2011,4,Not Holiday,4,Workingday,Mist Cloudy,25.317500000000003,28.946450000000002,70.08330000000001,21.500836000000003,569.0,3489,4058.0
118,119,2011-04-29,summer,2011,4,Not Holiday,5,Workingday,Clear Cloudy,20.91,24.87315,45.7083,16.084221,878.0,3717,4595.0
119,120,2011-04-30,summer,2011,4,Not Holiday,6,Weekend/Holiday,Clear Cloudy,19.3725,23.201050000000002,50.3333,15.750025,1965.0,3347,5312.0
120,121,2011-05-01,summer,2011,5,Not Holiday,0,Weekend/Holiday,Mist Cloudy,18.518347,22.4102,76.2083,7.125718,1138.0,2213,3351.0
121,122,2011-05-02,summer,2011,5,Not Holiday,1,Workingday,Mist Cloudy,22.515846999999997,26.64165,73.0,12.291418,847.0,3554,4401.0
122,123,2011-05-03,summer,2011,5,Not Holiday,2,Workingday,Mist Cloudy,25.283347,29.10395,69.7083,22.958689,603.0,3848,4451.0
123,124,2011-05-04,summer,2011,5,Not Holiday,3,Workingday,Mist Cloudy,16.980847,20.2325,73.70830000000001,22.042732,255.0,2378,2633.0
124,125,2011-05-05,summer,2011,5,Not Holiday,4,Workingday,Clear Cloudy,18.825847,22.09585,44.4167,19.791263999999998,614.0,3819,4433.0
125,126,2011-05-06,summer,2011,5,Not Holiday,5,Workingday,Clear Cloudy,19.645847,23.70585,59.0,15.292482,894.0,3714,4608.0
126,127,2011-05-07,summer,2011,5,Not Holiday,6,Weekend/Holiday,Clear Cloudy,21.32,25.63105,54.125,10.750150000000001,1612.0,3102,4714.0
127,128,2011-05-08,summer,2011,5,Not Holiday,0,Weekend/Holiday,Clear Cloudy,21.661653,25.946649999999998,63.1667,5.0007125,1401.0,2932,4333.0
128,129,2011-05-09,summer,2011,5,Not Holiday,1,Workingday,Clear Cloudy,21.8325,26.2623,58.875,11.792,664.0,3698,4362.0
129,130,2011-05-10,summer,2011,5,Not Holiday,2,Workingday,Clear Cloudy,21.8325,26.13605,48.9167,7.749956999999999,694.0,4109,4803.0
130,131,2011-05-11,summer,2011,5,Not Holiday,3,Workingday,Clear Cloudy,22.2425,26.419999999999998,63.29169999999999,8.083014,550.0,3632,4182.0
131,132,2011-05-12,summer,2011,5,Not Holiday,4,Workingday,Clear Cloudy,21.935000000000002,26.16815,74.75,12.707689,695.0,4169,4864.0
132,133,2011-05-13,summer,2011,5,Not Holiday,5,Workingday,Mist Cloudy,21.0125,24.715,86.33330000000001,12.041575,692.0,3413,4105.0
133,134,2011-05-14,summer,2011,5,Not Holiday,6,Weekend/Holiday,Mist Cloudy,21.354153,25.03145,92.25,9.041649999999999,902.0,2507,3409.0
134,135,2011-05-15,summer,2011,5,Not Holiday,0,Weekend/Holiday,Mist Cloudy,23.0625,26.8,86.70830000000001,10.249593,1582.0,2971,4553.0
135,136,2011-05-16,summer,2011,5,Not Holiday,1,Workingday,Clear Cloudy,23.677500000000002,27.5256,78.79169999999999,8.500357000000001,773.0,3185,3958.0
136,137,2011-05-17,summer,2011,5,Not Holiday,2,Workingday,Mist Cloudy,23.028347,26.926450000000003,83.7917,18.582718,678.0,3445,4123.0
137,138,2011-05-18,summer,2011,5,Not Holiday,3,Workingday,Mist Cloudy,22.55,26.3579,87.0,13.499964,536.0,3319,3855.0
138,139,2011-05-19,summer,2011,5,Not Holiday,4,Workingday,Mist Cloudy,21.764153,25.537100000000002,82.9583,7.250271000000001,735.0,3840,4575.0
139,140,2011-05-20,summer,2011,5,Not Holiday,5,Workingday,Clear Cloudy,22.003347,26.4521,71.9583,8.375871,909.0,4008,4917.0
140,141,2011-05-21,summer,2011,5,Not Holiday,6,Weekend/Holiday,Clear Cloudy,24.7025,28.59875,62.6667,8.083549999999999,2258.0,3547,5805.0
141,142,2011-05-22,summer,2011,5,Not Holiday,0,Weekend/Holiday,Clear Cloudy,24.770847,28.725,74.9583,9.916536,1576.0,3084,4660.0
142,143,2011-05-23,summer,2011,5,Not Holiday,1,Workingday,Mist Cloudy,25.898346999999998,29.5148,81.0,15.667413999999999,836.0,3438,4274.0
143,144,2011-05-24,summer,2011,5,Not Holiday,2,Workingday,Mist Cloudy,27.060000000000002,30.240650000000002,74.0833,13.875164,659.0,3833,4492.0
144,145,2011-05-25,summer,2011,5,Not Holiday,3,Workingday,Clear Cloudy,27.094153,30.7771,69.625,10.333611000000001,740.0,4238,4978.0
145,146,2011-05-26,summer,2011,5,Not Holiday,4,Workingday,Clear Cloudy,29.041653,32.7344,67.75,13.376014,758.0,3919,4677.0
146,147,2011-05-27,summer,2011,5,Not Holiday,5,Workingday,Clear Cloudy,27.948347000000002,31.8504,65.375,16.125493,871.0,3808,4679.0
147,148,2011-05-28,summer,2011,5,Not Holiday,6,Weekend/Holiday,Clear Cloudy,26.889153,30.61895,72.9583,15.416164,2001.0,2757,4758.0
148,149,2011-05-29,summer,2011,5,Not Holiday,0,Weekend/Holiday,Clear Cloudy,27.3675,30.777500000000003,81.875,14.333846,2266.75,2433,4699.75
149,150,2011-05-30,summer,2011,5,Not Holiday,1,Weekend/Holiday,Clear Cloudy,30.066653000000002,33.5546,68.5,8.792075,1549.0,2549,4098.0
150,151,2011-05-31,summer,2011,5,Not Holiday,2,Workingday,Clear Cloudy,31.775000000000002,36.26915,63.6667,7.459042999999999,673.0,3309,3982.0
151,152,2011-06-01,summer,2011,6,Not Holiday,3,Workingday,Mist Cloudy,31.330847000000002,36.04835,67.7083,13.875164,513.0,3461,3974.0
152,153,2011-06-02,summer,2011,6,Not Holiday,4,Workingday,Clear Cloudy,29.314999999999998,32.1971,30.5,19.583229000000003,736.0,4232,4968.0
153,154,2011-06-03,summer,2011,6,Not Holiday,5,Workingday,Clear Cloudy,25.419999999999998,29.356650000000002,35.4167,16.959107,898.0,4414,5312.0
154,155,2011-06-04,summer,2011,6,Not Holiday,6,Weekend/Holiday,Clear Cloudy,26.035,29.7348,45.625,8.250514,1869.0,3473,5342.0
155,156,2011-06-05,summer,2011,6,Not Holiday,0,Weekend/Holiday,Mist Cloudy,26.581653000000003,30.8402,65.25,9.292364000000001,1685.0,3221,4906.0
156,157,2011-06-06,summer,2011,6,Not Holiday,1,Workingday,Clear Cloudy,27.811653,31.0929,60.0,8.167032,673.0,3875,4548.0
157,158,2011-06-07,summer,2011,6,Not Holiday,2,Workingday,Clear Cloudy,29.0075,32.7975,59.791700000000006,12.583136,763.0,4070,4833.0
158,159,2011-06-08,summer,2011,6,Not Holiday,3,Workingday,Clear Cloudy,31.809153,36.36395,62.20830000000001,9.166739,676.0,3725,4401.0
159,160,2011-06-09,summer,2011,6,Not Holiday,4,Workingday,Mist Cloudy,33.141653,37.87895,56.833299999999994,10.042161,563.0,3352,3915.0
160,161,2011-06-10,summer,2011,6,Not Holiday,5,Workingday,Clear Cloudy,30.955000000000002,35.1646,60.5,9.417118,815.0,3771,4586.0
161,162,2011-06-11,summer,2011,6,Not Holiday,6,Weekend/Holiday,Clear Cloudy,29.724999999999998,33.901900000000005,65.45830000000001,10.374949999999998,1729.0,3237,4966.0
162,163,2011-06-12,summer,2011,6,Not Holiday,0,Weekend/Holiday,Clear Cloudy,28.392500000000002,32.166250000000005,74.7917,10.958988999999999,1467.0,2993,4460.0
163,164,2011-06-13,summer,2011,6,Not Holiday,1,Workingday,Clear Cloudy,26.035,30.082700000000003,49.4583,20.45845,863.0,4157,5020.0
164,165,2011-06-14,summer,2011,6,Not Holiday,2,Workingday,Clear Cloudy,24.770847,29.5773,50.708299999999994,18.041961,727.0,4164,4891.0
165,166,2011-06-15,summer,2011,6,Not Holiday,3,Workingday,Clear Cloudy,25.693347,29.3877,47.1667,11.250104,769.0,4411,5180.0
166,167,2011-06-16,summer,2011,6,Not Holiday,4,Workingday,Mist Cloudy,25.761653000000003,29.767300000000002,68.8333,13.833556999999999,545.0,3222,3767.0
167,168,2011-06-17,summer,2011,6,Not Holiday,5,Workingday,Clear Cloudy,26.615847000000002,30.01915,73.5833,9.582942999999998,863.0,3981,4844.0
168,169,2011-06-18,summer,2011,6,Not Holiday,6,Weekend/Holiday,Clear Cloudy,28.563347,32.197700000000005,67.0417,8.000336,1807.0,3312,5119.0
169,170,2011-06-19,summer,2011,6,Not Holiday,0,Weekend/Holiday,Mist Cloudy,28.665847,32.292300000000004,66.6667,6.834,1639.0,3105,4744.0
170,171,2011-06-20,summer,2011,6,Not Holiday,1,Workingday,Mist Cloudy,26.035,29.767300000000002,74.625,10.416825,699.0,3311,4010.0
171,172,2011-06-21,fall,2011,6,Not Holiday,2,Workingday,Mist Cloudy,27.914153000000002,31.8823,77.0417,11.458675000000001,774.0,4061,4835.0
172,173,2011-06-22,fall,2011,6,Not Holiday,3,Workingday,Clear Cloudy,30.066653000000002,34.69145,70.75,11.541554,661.0,3846,4507.0
173,174,2011-06-23,fall,2011,6,Not Holiday,4,Workingday,Mist Cloudy,29.861653,34.69165,70.3333,15.999868,746.0,4044,4790.0
174,175,2011-06-24,fall,2011,6,Not Holiday,5,Workingday,Clear Cloudy,29.690847,32.82915,57.3333,14.875675,969.0,4022,4991.0
175,176,2011-06-25,fall,2011,6,Not Holiday,6,Weekend/Holiday,Clear Cloudy,28.494999999999997,32.16565,48.3333,14.041257,1782.0,3420,5202.0
